Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk,AI_Adoption_Score,Job_Level_Score,Education_Score,Company_Size_Score,Layoff_Risk_Score,Automation_Exposure_Index,Human_Creative_Protection_Index,AI_Intensity_Index,Experience_Band,Age_Band,Risk_Binary
59,Master's,6,Finance,Accountant,Medium,Entry,84,21,94,Medium,5,7,40,26,High,1,0,2,1,2,57.136169074371324,57.5,41.111111111111114,4-7,51-60,High
44,Master's,14,Manufacturing,Production Supervisor,Small,Entry,30,84,68,Low,2,2,14,9,Low,0,0,2,0,0,13.761369716425897,76.0,8.88888888888889,8-15,41-50,Not_High
36,Bachelor's,7,Retail,Store Manager,Medium,Senior,12,86,71,Low,0,1,6,3,Low,0,2,1,1,0,1.157035848047084,78.5,1.1111111111111112,4-7,31-40,Not_High
27,Bachelor's,6,Finance,Auditor,Large,Entry,90,18,21,Medium,3,10,67,26,High,1,0,1,2,2,61.506153023006945,19.5,37.77777777777778,4-7,21-30,High
49,High School,12,Finance,Auditor,Small,Entry,49,52,72,Medium,5,13,26,19,Medium,1,0,0,0,1,42.786918138041734,62.0,47.77777777777778,8-15,41-50,Not_High
45,PhD,9,Telecom,Network Engineer,Large,Entry,72,33,54,Medium,4,5,69,9,High,1,0,3,2,2,59.21080791867309,43.5,35.55555555555556,8-15,41-50,High
48,Bachelor's,10,IT,Software Engineer,Small,Entry,46,63,63,Medium,2,7,45,9,Medium,1,0,1,0,1,39.731139646869984,63.0,31.11111111111111,8-15,41-50,Not_High
23,Master's,2,Retail,Store Manager,Medium,Mid,36,37,77,Low,2,0,27,3,Medium,0,1,2,1,1,19.198769395398607,57.0,6.666666666666667,0-3,21-30,Not_High
24,Bachelor's,3,IT,ML Engineer,Large,Entry,41,62,90,Low,1,1,20,8,Low,0,0,1,2,0,16.220572498662385,76.0,4.444444444444445,0-3,21-30,Not_High
48,Master's,6,Retail,Inventory Analyst,Small,Senior,84,8,81,Medium,2,5,67,29,Medium,1,2,2,0,1,57.22043873729268,44.5,28.888888888888886,4-7,41-50,Not_High
33,Bachelor's,0,Telecom,Network Engineer,Small,Entry,88,15,78,Medium,2,8,42,21,High,1,0,1,0,2,51.388443017656506,46.5,32.22222222222222,0-3,31-40,High
32,Bachelor's,0,Logistics,Dispatcher,Medium,Entry,65,36,21,Medium,5,10,39,27,High,1,0,1,1,2,51.200508293204926,28.5,44.44444444444444,0-3,31-40,High
53,Bachelor's,16,Manufacturing,Production Supervisor,Medium,Mid,77,33,74,Medium,4,10,54,28,High,1,1,1,1,2,56.48542001070091,53.5,41.111111111111114,15+,51-60,High
54,Bachelor's,12,Healthcare,Health Analyst,Medium,Entry,82,8,22,Medium,5,8,68,23,High,1,0,1,1,2,64.40609951845907,15.0,42.22222222222222,8-15,51-60,High
39,Master's,5,Telecom,Support Specialist,Medium,Mid,10,87,30,Low,2,5,5,9,Low,0,1,2,1,0,5.280898876404494,58.5,12.222222222222223,4-7,31-40,Not_High
36,Master's,7,Manufacturing,Production Supervisor,Medium,Mid,11,99,28,Low,0,2,9,2,Low,0,1,2,1,0,1.7021134296415195,63.5,2.2222222222222223,4-7,31-40,Not_High
23,Master's,2,Retail,Sales Associate,Large,Senior,45,65,57,Medium,5,13,44,7,Medium,1,2,2,2,1,46.65262172284644,61.0,47.77777777777778,0-3,21-30,Not_High
38,High School,17,Finance,Accountant,Medium,Mid,89,10,67,Medium,5,12,81,12,High,1,1,0,1,2,70.14111824505082,38.5,46.666666666666664,15+,31-40,High
37,Bachelor's,11,Telecom,Network Engineer,Medium,Entry,39,42,57,Low,2,2,25,1,Medium,0,0,1,1,1,19.529828785446764,49.5,8.88888888888889,8-15,31-40,Not_High
53,Bachelor's,11,Education,Academic Coordinator,Medium,Entry,70,57,83,Medium,2,5,67,16,Medium,1,0,1,1,1,53.053772070626,70.0,28.888888888888886,8-15,51-60,Not_High
49,Master's,12,Manufacturing,Production Supervisor,Large,Entry,55,41,72,Medium,5,9,32,27,Medium,1,0,2,2,1,46.25802568218298,56.5,43.333333333333336,8-15,41-50,Not_High
23,High School,2,Logistics,Dispatcher,Medium,Senior,67,39,42,Low,1,2,62,9,High,0,2,0,1,2,35.756420545746394,40.5,5.555555555555556,0-3,21-30,High
37,Bachelor's,11,Finance,Financial Analyst,Medium,Entry,33,84,32,Low,1,5,20,2,Medium,0,0,1,1,1,13.839620117710005,58.0,8.88888888888889,8-15,31-40,Not_High
48,Bachelor's,11,Finance,Auditor,Medium,Mid,60,63,41,Low,1,1,35,5,Medium,0,1,1,1,1,26.08881754949171,52.0,4.444444444444445,8-15,41-50,Not_High
26,Bachelor's,5,Manufacturing,Operator,Large,Entry,14,67,87,Low,1,2,7,6,Low,0,0,1,2,0,4.533172819689674,77.0,5.555555555555556,4-7,21-30,Not_High
36,PhD,11,Education,Research Assistant,Medium,Entry,26,60,77,Low,2,1,14,4,Low,0,0,3,1,0,12.570893525949705,68.5,7.777777777777778,8-15,31-40,Not_High
43,High School,17,Retail,Inventory Analyst,Large,Entry,57,36,20,Medium,4,7,43,16,High,1,0,0,2,2,47.443151417870524,28.0,37.77777777777778,15+,41-50,High
57,High School,14,Finance,Accountant,Medium,Entry,56,41,67,Medium,2,11,30,8,High,1,0,0,1,2,38.49384697699305,54.0,35.55555555555556,8-15,51-60,High
50,Master's,6,Retail,Sales Associate,Large,Entry,19,82,38,Low,0,4,14,3,Low,0,0,2,2,0,5.487560192616373,60.0,4.444444444444445,4-7,41-50,Not_High
36,Bachelor's,9,Finance,Accountant,Small,Mid,93,0,52,High,5,27,83,70,High,2,1,1,0,2,84.39339218833601,26.0,80.0,8-15,31-40,High
32,Master's,11,Finance,Financial Analyst,Small,Entry,55,43,21,Medium,4,5,36,12,High,1,0,2,0,2,44.88162118780096,32.0,35.55555555555556,8-15,31-40,High
30,High School,6,Manufacturing,Quality Engineer,Large,Entry,77,12,94,High,9,22,52,55,High,2,0,0,2,2,80.92362225789192,53.0,87.77777777777777,4-7,21-30,High
56,Master's,11,Education,Teacher,Large,Entry,91,1,96,High,9,26,74,68,High,2,0,2,2,2,91.27006420545746,48.5,92.22222222222221,8-15,51-60,High
43,Master's,7,Education,Academic Coordinator,Small,Senior,71,4,32,Medium,4,7,34,21,Low,1,2,2,0,0,49.081728196896734,18.0,37.77777777777778,4-7,41-50,Not_High
39,PhD,7,Retail,Inventory Analyst,Large,Mid,25,68,88,Low,2,4,24,3,Low,0,1,3,2,0,15.082263242375603,78.0,11.111111111111112,4-7,31-40,Not_High
36,Master's,2,Manufacturing,Operator,Small,Mid,48,55,94,Medium,3,13,43,14,Medium,1,1,2,0,1,42.264579989299094,74.5,41.111111111111114,0-3,31-40,Not_High
