feature,mean_abs_coefficient
Industry_Education,3.664259595699521
Job_Level_Score,3.2519790722161765
Routine_Task_Percentage,3.2269410967644863
Tasks_Automated_Percentage,3.14843292675506
Industry_Manufacturing,3.045542955555358
Industry_Healthcare,2.976729896257161
Industry_Retail,2.2738060131804736
Education_Score,1.9705853229620711
Job_Level_Senior,1.8148232933727877
Experience_Band_15+,1.6840523657761415
Industry_Logistics,1.6611239271042673
Experience_Band_0-3,1.6508499225399866
Human_Creative_Protection_Index,1.6035548469964291
Creativity_Requirement,1.5590884904373743
Automation_Exposure_Index,1.5587775594647633
Industry_IT,1.5033746104613999
Job_Role_Research Assistant,1.3541599054871425
Job_Role_Teacher,1.1992443908811166
Job_Level_Mid,1.1183740853521107
Job_Role_Academic Coordinator,1.1108552993312644
Job_Role_Production Supervisor,1.1094658797579855
Job_Role_Health Analyst,1.0900278084233272
Job_Role_Operator,1.0758358573997164
Job_Role_Nurse,1.0259912686216832
Job_Role_Quality Engineer,0.9299243685405202
AI_Training_Hours,0.871929687702275
Job_Role_Medical Assistant,0.8607108192121423
Job_Role_Sales Associate,0.8300283520115274
Industry_Finance,0.8265183901552144
Years_of_Experience,0.8072233866300058
Education_Level_High School,0.7733701545260678
Job_Role_Store Manager,0.7536149081490863
Job_Level_Entry,0.7449130987771566
Job_Role_Inventory Analyst,0.72877805089762
Experience_Band_4-7,0.7018331810855679
Education_Level_Master's,0.6912000860020454
Human_Interaction_Level,0.6858634960643278
Job_Role_Software Engineer,0.621547343678296
Job_Role_Warehouse Manager,0.6001430426328594
Job_Role_Supply Chain Analyst,0.5826120459261924
Job_Role_ML Engineer,0.53693670946561
Job_Role_Dispatcher,0.5110051185900535
AI_Adoption_Level_Low,0.5070941599960217
AI_Adoption_Score,0.47865984145948975
Job_Role_Data Analyst,0.41173429469585615
Job_Role_Financial Analyst,0.3893739154675688
Job_Role_Auditor,0.3639488934407937
AI_Adoption_Level_Medium,0.36204413433993793
Age_Band_21-30,0.3594075970101051
Company_Size_Medium,0.3575606849971793
Experience_Band_8-15,0.35280219276628544
Company_Size_Small,0.34414624608192285
Age_Band_31-40,0.3139992795049123
Age_Band_51-60,0.3131696332832552
Company_Size_Large,0.29283193303890787
Education_Level_PhD,0.28563349376810465
AI_Intensity_Index,0.25029318544348683
Education_Level_Bachelor's,0.24803099344112653
Number_of_AI_Tools_Used,0.22987795536965983
Age_Band_41-50,0.2209164414050173
AI_Adoption_Level_High,0.21352273899947574
Age,0.2029421689703809
Industry_Telecom,0.1391262990919081
AI_Usage_Hours_Per_Week,0.09699873129549795
Job_Role_Accountant,0.08568407512508153
Job_Role_Network Engineer,0.07581143071617376
Job_Role_Operations Analyst,0.04007957867087197
Company_Size_Score,0.037424905890348206
Job_Role_Support Specialist,0.03380607018872804
