feature,importance_mean,importance_std
Routine_Task_Percentage,0.21120966851707806,0.004216342388940998
Tasks_Automated_Percentage,0.1923637644013091,0.002060350660628955
Job_Level_Score,0.185614278955692,0.0025639661234324465
Industry,0.13004756986669613,0.0036991039882221083
Education_Score,0.09906835702089398,0.0033266478304798336
Human_Creative_Protection_Index,0.08003739053599061,0.0030133791706668488
Automation_Exposure_Index,0.07671838515512444,0.003259231099304422
Creativity_Requirement,0.07442189948241484,0.002646195098826402
Experience_Band,0.03638506922510609,0.001431563809804808
Job_Level,0.033245152283824256,0.0018072262259650562
Job_Role,0.03189352946936386,0.002073571088120109
Years_of_Experience,0.02956362598091067,0.0011772964088416337
Human_Interaction_Level,0.02692516395554061,0.0012747877599915847
AI_Training_Hours,0.023190772455056186,0.0019651354256278526
AI_Adoption_Score,0.010441458656613722,0.0010178269338795198
Education_Level,0.010257387532407968,0.0016065210383991108
Number_of_AI_Tools_Used,0.0028803265307730808,0.0007563428807188917
AI_Intensity_Index,0.0023665361419040075,0.0012747389847552488
AI_Adoption_Level,0.0022156458018449897,0.001021880768877144
Age,0.0017586592498519237,0.000684056092809994
Age_Band,0.0006555429654883759,0.00042979229032160017
AI_Usage_Hours_Per_Week,0.0005377337105754831,0.0003826931997737912
Company_Size,-6.824104439684398e-05,0.0004330653081834367
Company_Size_Score,-0.0006138117421817801,0.00026915121386609516
